Number,Name,Type,Total,Hp,Attack,Defense,Sp_atk,Sp_def,Speed,Generation,Legendary,Mythical,Kanto?,Johto?,Kalos?,Galar?,Alola (US/UM)?,Alola (S/M)?,Unova (B2/W2)?,Hoenn?,Sinnoh?,Paldea?,Galar (TCT)?,Unova (B/W)?,Abilities,Tier,Next Evolution(s),Moves
1,Bulbasaur,"Grass, Poison",318,45,49,49,65,65,45,1,No,No,True,True,True,,,,,,,,,,"['Chlorophyll', 'Overgrow']",LC,['Ivysaur'],"['Tackle', 'Growl', 'Leech Seed', 'Vine Whip', 'Vine Whip', 'Poison Powder', 'Sleep Powder', 'Take Down', 'Razor Leaf', 'Sweet Scent', 'Growth', 'Sleep Powder', ""Double'Edge"", 'Worry Seed', 'Synthesis', 'Solar Beam', 'Seed Bomb', 'Amnesia', 'Charm', 'Curse', 'Endure', 'Giga Drain', 'Grass Whistle', 'Grassy Terrain', 'Ingrain', 'Leaf Storm', 'Light Screen', 'Magical Leaf', 'Nature Power', 'Petal Dance', 'Power Whip', 'Razor Wind', 'Safeguard', 'Skull Bash', 'Sludge', 'Bind', 'Body Slam', 'Defense Curl', ""Double'Edge"", 'Endure', 'Fury Cutter', 'Giga Drain', 'Grass Pledge', 'Headbutt', 'Knock Off', 'Mimic', ""Mud'Slap"", 'Seed Bomb', 'Sleep Talk', 'Snore', 'String Shot', 'Substitute', 'Swagger', 'Swords Dance', 'Synthesis', 'Worry Seed', 'Swords Dance', 'Headbutt', 'Curse', 'Work Up', 'Toxic', 'Venoshock', 'Bullet Seed', 'Body Slam', 'Hidden Power', 'Sunny Day', 'Light Screen', 'Sweet Scent', 'Snore', 'Protect', 'Safeguard', 'Giga Drain', 'Endure', 'Frustration', 'Take Down', ""Double'Edge"", 'Rage', 'Mega Drain', 'Solar Beam', 'Mimic', 'Return', ""Mud'Slap"", 'Double Team', 'Sludge Bomb', 'Facade', 'Secret Power', 'Swagger', 'Sleep Talk', 'Defense Curl', 'Reflect', 'Bide', 'Rest', 'Attract', 'Fury Cutter', 'Round', 'Echoed Voice', 'Energy Ball', 'Endure', 'Flash', 'Swords Dance', 'Captivate', 'Sleep Talk', 'Natural Gift', 'Grass Knot', 'Swagger', 'Sleep Talk', 'Substitute', 'Secret Power', 'Rock Smash', 'Nature Power', 'Confide', 'Cut', 'Strength', 'Flash', 'Rock Smash']"
2,Ivysaur,"Grass, Poison",405,60,62,63,80,80,60,1,No,No,True,True,True,,,,,,,,,,"['Chlorophyll', 'Overgrow']",,['Venusaur'],"['Tackle', 'Growl', 'Leech Seed', 'Growl', 'Leech Seed', 'Vine Whip', 'Poison Powder', 'Sleep Powder', 'Take Down', 'Razor Leaf', 'Sweet Scent', 'Growth', 'Sleep Powder', ""Double'Edge"", 'Worry Seed', 'Synthesis', 'Solar Beam', 'Seed Bomb', 'Amnesia', 'Charm', 'Curse', 'Endure', 'Giga Drain', 'Grass Whistle', 'Grassy Terrain', 'Ingrain', 'Leaf Storm', 'Light Screen', 'Magical Leaf', 'Nature Power', 'Petal Dance', 'Power Whip', 'Razor Wind', 'Safeguard', 'Skull Bash', 'Sludge', 'Bind', 'Body Slam', 'Defense Curl', ""Double'Edge"", 'Endure', 'Fury Cutter', 'Giga Drain', 'Grass Pledge', 'Headbutt', 'Knock Off', 'Mimic', ""Mud'Slap"", 'Seed Bomb', 'Sleep Talk', 'Snore', 'String Shot', 'Substitute', 'Swagger', 'Swords Dance', 'Synthesis', 'Worry Seed', 'Swords Dance', 'Headbutt', 'Curse', 'Work Up', 'Toxic', 'Venoshock', 'Bullet Seed', 'Body Slam', 'Hidden Power', 'Sunny Day', 'Light Screen', 'Sweet Scent', 'Snore', 'Protect', 'Safeguard', 'Giga Drain', 'Endure', 'Frustration', 'Take Down', ""Double'Edge"", 'Rage', 'Mega Drain', 'Solar Beam', 'Mimic', 'Return', ""Mud'Slap"", 'Double Team', 'Sludge Bomb', 'Facade', 'Secret Power', 'Swagger', 'Sleep Talk', 'Defense Curl', 'Reflect', 'Bide', 'Rest', 'Attract', 'Fury Cutter', 'Round', 'Echoed Voice', 'Energy Ball', 'Endure', 'Flash', 'Swords Dance', 'Captivate', 'Sleep Talk', 'Natural Gift', 'Grass Knot', 'Swagger', 'Sleep Talk', 'Substitute', 'Secret Power', 'Rock Smash', 'Nature Power', 'Confide', 'Cut', 'Strength', 'Flash', 'Rock Smash']"
3,Venusaur,"Grass, Poison",525,80,82,83,100,100,80,1,No,No,True,True,True,,,,,,,,,,"['Chlorophyll', 'Overgrow']",NU,[],"['Tackle', 'Growl', 'Leech Seed', 'Petal Dance', 'Petal Dance', 'Tackle', 'Growl', 'Leech Seed', 'Vine Whip', 'Growl', 'Leech Seed', 'Vine Whip', 'Poison Powder', 'Sleep Powder', 'Take Down', 'Razor Leaf', 'Sweet Scent', 'Growth', 'Sleep Powder', ""Double'Edge"", 'Petal Dance', 'Worry Seed', 'Synthesis', 'Petal Blizzard', 'Solar Beam', 'Seed Bomb', 'Amnesia', 'Charm', 'Curse', 'Endure', 'Giga Drain', 'Grass Whistle', 'Grassy Terrain', 'Ingrain', 'Leaf Storm', 'Light Screen', 'Magical Leaf', 'Nature Power', 'Petal Dance', 'Power Whip', 'Razor Wind', 'Safeguard', 'Skull Bash', 'Sludge', 'Bind', 'Block', 'Body Slam', 'Defense Curl', ""Double'Edge"", 'Endure', 'Frenzy Plant', 'Fury Cutter', 'Giga Drain', 'Grass Pledge', 'Headbutt', 'Knock Off', 'Mimic', ""Mud'Slap"", 'Outrage', 'Seed Bomb', 'Sleep Talk', 'Snore', 'String Shot', 'Substitute', 'Swagger', 'Swords Dance', 'Synthesis', 'Worry Seed', 'Swords Dance', 'Headbutt', 'Curse', 'Work Up', 'Roar', 'Toxic', 'Venoshock', 'Bullet Seed', 'Body Slam', 'Hidden Power', 'Sunny Day', 'Sweet Scent', 'Snore', 'Take Down', ""Double'Edge"", 'Hyper Beam', 'Rage', 'Mega Drain', 'Light Screen', 'Protect', 'Safeguard', 'Giga Drain', 'Endure', 'Frustration', 'Solar Beam', 'Mimic', 'Earthquake', 'Return', ""Mud'Slap"", 'Double Team', 'Sludge Bomb', 'Facade', 'Secret Power', 'Swagger', 'Sleep Talk', 'Defense Curl', 'Reflect', 'Bide', 'Rest', 'Attract', 'Fury Cutter', 'Round', 'Echoed Voice', 'Energy Ball', 'Endure', 'Giga Impact', 'Flash', 'Swords Dance', 'Bulldoze', 'Captivate', 'Sleep Talk', 'Natural Gift', 'Grass Knot', 'Swagger', 'Sleep Talk', 'Substitute', 'Secret Power', 'Rock Smash', 'Nature Power', 'Confide', 'Cut', 'Strength', 'Flash', 'Rock Smash', 'Rock Climb']"
3,Venusaur-Mega,"Grass, Poison",625,80,100,123,122,120,80,1,No,No,,,,,,,,,,,,,['Thick Fat'],OU,[],"['Tackle', 'Growl', 'Leech Seed', 'Petal Dance', 'Petal Dance', 'Tackle', 'Growl', 'Leech Seed', 'Vine Whip', 'Growl', 'Leech Seed', 'Vine Whip', 'Poison Powder', 'Sleep Powder', 'Take Down', 'Razor Leaf', 'Sweet Scent', 'Growth', 'Sleep Powder', ""Double'Edge"", 'Petal Dance', 'Worry Seed', 'Synthesis', 'Petal Blizzard', 'Solar Beam', 'Seed Bomb', 'Amnesia', 'Charm', 'Curse', 'Endure', 'Giga Drain', 'Grass Whistle', 'Grassy Terrain', 'Ingrain', 'Leaf Storm', 'Light Screen', 'Magical Leaf', 'Nature Power', 'Petal Dance', 'Power Whip', 'Razor Wind', 'Safeguard', 'Skull Bash', 'Sludge', 'Bind', 'Block', 'Body Slam', 'Defense Curl', ""Double'Edge"", 'Endure', 'Frenzy Plant', 'Fury Cutter', 'Giga Drain', 'Grass Pledge', 'Headbutt', 'Knock Off', 'Mimic', ""Mud'Slap"", 'Outrage', 'Seed Bomb', 'Sleep Talk', 'Snore', 'String Shot', 'Substitute', 'Swagger', 'Swords Dance', 'Synthesis', 'Worry Seed', 'Swords Dance', 'Headbutt', 'Curse', 'Work Up', 'Roar', 'Toxic', 'Venoshock', 'Bullet Seed', 'Body Slam', 'Hidden Power', 'Sunny Day', 'Sweet Scent', 'Snore', 'Take Down', ""Double'Edge"", 'Hyper Beam', 'Rage', 'Mega Drain', 'Light Screen', 'Protect', 'Safeguard', 'Giga Drain', 'Endure', 'Frustration', 'Solar Beam', 'Mimic', 'Earthquake', 'Return', ""Mud'Slap"", 'Double Team', 'Sludge Bomb', 'Facade', 'Secret Power', 'Swagger', 'Sleep Talk', 'Defense Curl', 'Reflect', 'Bide', 'Rest', 'Attract', 'Fury Cutter', 'Round', 'Echoed Voice', 'Energy Ball', 'Endure', 'Giga Impact', 'Flash', 'Swords Dance', 'Bulldoze', 'Captivate', 'Sleep Talk', 'Natural Gift', 'Grass Knot', 'Swagger', 'Sleep Talk', 'Substitute', 'Secret Power', 'Rock Smash', 'Nature Power', 'Confide', 'Cut', 'Strength', 'Flash', 'Rock Smash', 'Rock Climb']"
4,Charmander,Fire,309,39,52,43,60,50,65,1,No,No,True,True,True,True,,,,,,,,,"['Blaze', 'Solar Power']",LC,['Charmeleon'],"['Scratch', 'Growl', 'Ember', 'Leer', 'Metal Claw', 'Smokescreen', 'Rage', 'Dragon Rage', 'Scary Face', 'Fire Fang', 'Slash', 'Flame Burst', 'Slash', 'Flamethrower', 'Fire Spin', 'Inferno', 'Slash', 'Dragon Rage', 'Fire Spin', 'Air Cutter', 'Ancient Power', 'Beat Up', 'Belly Drum', 'Bite', 'Counter', 'Crunch', 'Dragon Dance', 'Dragon Pulse', 'Dragon Rush', 'Flare Blitz', 'Focus Punch', 'Metal Claw', 'Outrage', 'Rock Slide', 'Swords Dance', 'Body Slam', 'Counter', 'Defense Curl', ""Double'Edge"", 'Dragon Pulse', 'Dynamic Punch', 'Endure', 'Fire Pledge', 'Fire Punch', 'Flamethrower', 'Focus Punch', 'Fury Cutter', 'Headbutt', 'Heat Wave', 'Iron Tail', 'Mega Kick', 'Mega Punch', 'Mimic', ""Mud'Slap"", 'Outrage', 'Rock Slide', 'Seismic Toss', 'Sleep Talk', 'Snore', 'Substitute', 'Swagger', 'Swift', 'Swords Dance', 'Thunder Punch', 'Work Up', 'Hone Claws', 'Focus Punch', 'Dragon Claw', 'Dynamic Punch', 'Headbutt', 'Curse', 'Mega Punch', 'Swords Dance', 'Mega Kick', 'Toxic', 'Rock Smash', 'Hidden Power', 'Sunny Day', 'Snore', 'Protect', 'Endure', 'Frustration', 'Iron Tail', 'Dragon Breath', 'Return', 'Body Slam', 'Take Down', ""Double'Edge"", 'Submission', 'Counter', 'Seismic Toss', 'Rage', 'Dragon Rage', 'Dig', 'Brick Break', ""Mud'Slap"", 'Mimic', 'Double Team', 'Flamethrower', 'Swagger', 'Sleep Talk', 'Reflect', 'Bide', 'Fire Blast', 'Rock Tomb', 'Swift', 'Aerial Ace', 'Facade', 'Flame Charge', 'Secret Power', 'Defense Curl', 'Skull Bash', 'Rest', 'Attract', 'Round', 'Echoed Voice', 'Fire Punch', 'Overheat', 'Fling', 'Incinerate', 'Endure', ""Will'O'Wisp"", 'Shadow Claw', 'Swords Dance', 'Captivate', 'Rock Slide', 'Sleep Talk', 'Natural Gift', 'Swagger', 'Sleep Talk', 'Substitute', 'Secret Power', 'Rock Smash', ""Power'Up Punch"", 'Confide', 'Fury Cutter', 'Cut', 'Strength', 'Rock Smash']"
5,Charmeleon,Fire,405,58,64,58,80,65,80,1,No,No,True,True,True,True,,,,,,,,,"['Blaze', 'Solar Power']",,['Charizard'],"['Scratch', 'Growl', 'Ember', 'Ember', 'Leer', 'Metal Claw', 'Smokescreen', 'Rage', 'Dragon Rage', 'Scary Face', 'Fire Fang', 'Slash', 'Flame Burst', 'Flamethrower', 'Slash', 'Dragon Rage', 'Flamethrower', 'Fire Spin', 'Inferno', 'Air Cutter', 'Ancient Power', 'Beat Up', 'Belly Drum', 'Bite', 'Counter', 'Crunch', 'Dragon Dance', 'Dragon Pulse', 'Dragon Rush', 'Flare Blitz', 'Focus Punch', 'Metal Claw', 'Outrage', 'Rock Slide', 'Swords Dance', 'Body Slam', 'Counter', 'Defense Curl', ""Double'Edge"", 'Dragon Pulse', 'Dynamic Punch', 'Endure', 'Fire Pledge', 'Fire Punch', 'Flamethrower', 'Focus Punch', 'Fury Cutter', 'Headbutt', 'Heat Wave', 'Iron Tail', 'Mega Kick', 'Mega Punch', 'Mimic', ""Mud'Slap"", 'Outrage', 'Rock Slide', 'Seismic Toss', 'Sleep Talk', 'Snore', 'Substitute', 'Swagger', 'Swift', 'Swords Dance', 'Thunder Punch', 'Work Up', 'Hone Claws', 'Focus Punch', 'Dragon Claw', 'Dynamic Punch', 'Headbutt', 'Curse', 'Mega Punch', 'Swords Dance', 'Mega Kick', 'Toxic', 'Rock Smash', 'Hidden Power', 'Sunny Day', 'Snore', 'Protect', 'Endure', 'Frustration', 'Iron Tail', 'Dragon Breath', 'Return', 'Body Slam', 'Take Down', ""Double'Edge"", 'Submission', 'Counter', 'Seismic Toss', 'Rage', 'Dragon Rage', 'Dig', 'Brick Break', ""Mud'Slap"", 'Mimic', 'Double Team', 'Flamethrower', 'Swagger', 'Sleep Talk', 'Reflect', 'Bide', 'Fire Blast', 'Rock Tomb', 'Swift', 'Aerial Ace', 'Facade', 'Flame Charge', 'Secret Power', 'Defense Curl', 'Skull Bash', 'Rest', 'Attract', 'Round', 'Echoed Voice', 'Fire Punch', 'Overheat', 'Fling', 'Incinerate', 'Endure', ""Will'O'Wisp"", 'Shadow Claw', 'Swords Dance', 'Captivate', 'Rock Slide', 'Sleep Talk', 'Natural Gift', 'Swagger', 'Sleep Talk', 'Substitute', 'Secret Power', 'Rock Smash', ""Power'Up Punch"", 'Confide', 'Fury Cutter', 'Cut', 'Strength', 'Rock Smash']"
6,Charizard,"Fire, Flying",534,78,84,78,109,85,100,1,No,No,True,True,True,True,,,,,,,,,"['Blaze', 'Solar Power']",PUBL,[],"['Flare Blitz', 'Heat Wave', 'Scratch', 'Growl', 'Ember', 'Metal Claw', 'Leer', 'Wing Attack', 'Wing Attack', 'Flare Blitz', 'Heat Wave', 'Dragon Claw', 'Shadow Claw', 'Air Slash', 'Scratch', 'Growl', 'Ember', 'Leer', 'Metal Claw', 'Smokescreen', 'Ember', 'Smokescreen', 'Rage', 'Dragon Rage', 'Scary Face', 'Flamethrower', 'Fire Fang', 'Slash', 'Flame Burst', 'Wing Attack', 'Slash', 'Dragon Rage', 'Flamethrower', 'Fire Spin', 'Inferno', 'Heat Wave', 'Flare Blitz', 'Air Cutter', 'Ancient Power', 'Beat Up', 'Belly Drum', 'Bite', 'Counter', 'Crunch', 'Dragon Dance', 'Dragon Pulse', 'Dragon Rush', 'Flare Blitz', 'Focus Punch', 'Metal Claw', 'Outrage', 'Rock Slide', 'Swords Dance', 'Air Cutter', 'Blast Burn', 'Body Slam', 'Counter', 'Defense Curl', ""Double'Edge"", 'Dragon Pulse', 'Dynamic Punch', 'Endure', 'Fire Pledge', 'Fire Punch', 'Flamethrower', 'Focus Punch', 'Fury Cutter', 'Headbutt', 'Heat Wave', 'Iron Tail', 'Mega Kick', 'Mega Punch', 'Mimic', ""Mud'Slap"", 'Ominous Wind', 'Outrage', 'Rock Slide', 'Roost', 'Seismic Toss', 'Sleep Talk', 'Snore', 'Substitute', 'Swagger', 'Swift', 'Swords Dance', 'Tailwind', 'Thunder Punch', 'Twister', 'Work Up', 'Hone Claws', 'Focus Punch', 'Dragon Claw', 'Dynamic Punch', 'Headbutt', 'Curse', 'Roar', 'Mega Punch', 'Swords Dance', 'Mega Kick', 'Toxic', 'Rock Smash', 'Hidden Power', 'Sunny Day', 'Snore', 'Body Slam', 'Take Down', ""Double'Edge"", 'Hyper Beam', 'Protect', 'Endure', 'Roost', 'Submission', 'Frustration', 'Solar Beam', 'Counter', 'Iron Tail', 'Dragon Breath', 'Seismic Toss', 'Rage', 'Dragon Rage', 'Earthquake', 'Return', 'Fissure', 'Dig', 'Brick Break', ""Mud'Slap"", 'Mimic', 'Double Team', 'Flamethrower', 'Swagger', 'Sleep Talk', 'Sandstorm', 'Reflect', 'Bide', 'Fire Blast', 'Rock Tomb', 'Swift', 'Aerial Ace', 'Facade', 'Flame Charge', 'Secret Power', 'Defense Curl', 'Skull Bash', 'Rest', 'Attract', 'Round', 'Echoed Voice', 'Steel Wing', 'Overheat', 'Steel Wing', 'Roost', 'Focus Blast', 'Fling', 'Sky Drop', 'Brutal Swing', 'Incinerate', 'Endure', 'Dragon Pulse', ""Will'O'Wisp"", 'Shadow Claw', 'Giga Impact', 'Swords Dance', 'Captivate', 'Fly', 'Fire Punch', 'Bulldoze', 'Fury Cutter', 'Rock Slide', 'Dragon Tail', 'Sleep Talk', 'Natural Gift', 'Swagger', 'Sleep Talk', 'Substitute', 'Secret Power', 'Rock Smash', ""Power'Up Punch"", 'Confide', 'Cut', 'Fly', 'Strength', 'Defog', 'Rock Smash']"
6,Charizard-Mega-X,"Fire, Dragon",634,78,130,111,130,85,100,1,No,No,,,,,,,,,,,,,['Tough Claws'],OU,[],"['Flare Blitz', 'Heat Wave', 'Scratch', 'Growl', 'Ember', 'Metal Claw', 'Leer', 'Wing Attack', 'Wing Attack', 'Flare Blitz', 'Heat Wave', 'Dragon Claw', 'Shadow Claw', 'Air Slash', 'Scratch', 'Growl', 'Ember', 'Leer', 'Metal Claw', 'Smokescreen', 'Ember', 'Smokescreen', 'Rage', 'Dragon Rage', 'Scary Face', 'Flamethrower', 'Fire Fang', 'Slash', 'Flame Burst', 'Wing Attack', 'Slash', 'Dragon Rage', 'Flamethrower', 'Fire Spin', 'Inferno', 'Heat Wave', 'Flare Blitz', 'Air Cutter', 'Ancient Power', 'Beat Up', 'Belly Drum', 'Bite', 'Counter', 'Crunch', 'Dragon Dance', 'Dragon Pulse', 'Dragon Rush', 'Flare Blitz', 'Focus Punch', 'Metal Claw', 'Outrage', 'Rock Slide', 'Swords Dance', 'Air Cutter', 'Blast Burn', 'Body Slam', 'Counter', 'Defense Curl', ""Double'Edge"", 'Dragon Pulse', 'Dynamic Punch', 'Endure', 'Fire Pledge', 'Fire Punch', 'Flamethrower', 'Focus Punch', 'Fury Cutter', 'Headbutt', 'Heat Wave', 'Iron Tail', 'Mega Kick', 'Mega Punch', 'Mimic', ""Mud'Slap"", 'Ominous Wind', 'Outrage', 'Rock Slide', 'Roost', 'Seismic Toss', 'Sleep Talk', 'Snore', 'Substitute', 'Swagger', 'Swift', 'Swords Dance', 'Tailwind', 'Thunder Punch', 'Twister', 'Work Up', 'Hone Claws', 'Focus Punch', 'Dragon Claw', 'Dynamic Punch', 'Headbutt', 'Curse', 'Roar', 'Mega Punch', 'Swords Dance', 'Mega Kick', 'Toxic', 'Rock Smash', 'Hidden Power', 'Sunny Day', 'Snore', 'Body Slam', 'Take Down', ""Double'Edge"", 'Hyper Beam', 'Protect', 'Endure', 'Roost', 'Submission', 'Frustration', 'Solar Beam', 'Counter', 'Iron Tail', 'Dragon Breath', 'Seismic Toss', 'Rage', 'Dragon Rage', 'Earthquake', 'Return', 'Fissure', 'Dig', 'Brick Break', ""Mud'Slap"", 'Mimic', 'Double Team', 'Flamethrower', 'Swagger', 'Sleep Talk', 'Sandstorm', 'Reflect', 'Bide', 'Fire Blast', 'Rock Tomb', 'Swift', 'Aerial Ace', 'Facade', 'Flame Charge', 'Secret Power', 'Defense Curl', 'Skull Bash', 'Rest', 'Attract', 'Round', 'Echoed Voice', 'Steel Wing', 'Overheat', 'Steel Wing', 'Roost', 'Focus Blast', 'Fling', 'Sky Drop', 'Brutal Swing', 'Incinerate', 'Endure', 'Dragon Pulse', ""Will'O'Wisp"", 'Shadow Claw', 'Giga Impact', 'Swords Dance', 'Captivate', 'Fly', 'Fire Punch', 'Bulldoze', 'Fury Cutter', 'Rock Slide', 'Dragon Tail', 'Sleep Talk', 'Natural Gift', 'Swagger', 'Sleep Talk', 'Substitute', 'Secret Power', 'Rock Smash', ""Power'Up Punch"", 'Confide', 'Cut', 'Fly', 'Strength', 'Defog', 'Rock Smash']"
6,Charizard-Mega-Y,"Fire, Flying",634,78,104,78,159,115,100,1,No,No,,,,,,,,,,,,,['Drought'],UUBL,[],"['Flare Blitz', 'Heat Wave', 'Scratch', 'Growl', 'Ember', 'Metal Claw', 'Leer', 'Wing Attack', 'Wing Attack', 'Flare Blitz', 'Heat Wave', 'Dragon Claw', 'Shadow Claw', 'Air Slash', 'Scratch', 'Growl', 'Ember', 'Leer', 'Metal Claw', 'Smokescreen', 'Ember', 'Smokescreen', 'Rage', 'Dragon Rage', 'Scary Face', 'Flamethrower', 'Fire Fang', 'Slash', 'Flame Burst', 'Wing Attack', 'Slash', 'Dragon Rage', 'Flamethrower', 'Fire Spin', 'Inferno', 'Heat Wave', 'Flare Blitz', 'Air Cutter', 'Ancient Power', 'Beat Up', 'Belly Drum', 'Bite', 'Counter', 'Crunch', 'Dragon Dance', 'Dragon Pulse', 'Dragon Rush', 'Flare Blitz', 'Focus Punch', 'Metal Claw', 'Outrage', 'Rock Slide', 'Swords Dance', 'Air Cutter', 'Blast Burn', 'Body Slam', 'Counter', 'Defense Curl', ""Double'Edge"", 'Dragon Pulse', 'Dynamic Punch', 'Endure', 'Fire Pledge', 'Fire Punch', 'Flamethrower', 'Focus Punch', 'Fury Cutter', 'Headbutt', 'Heat Wave', 'Iron Tail', 'Mega Kick', 'Mega Punch', 'Mimic', ""Mud'Slap"", 'Ominous Wind', 'Outrage', 'Rock Slide', 'Roost', 'Seismic Toss', 'Sleep Talk', 'Snore', 'Substitute', 'Swagger', 'Swift', 'Swords Dance', 'Tailwind', 'Thunder Punch', 'Twister', 'Work Up', 'Hone Claws', 'Focus Punch', 'Dragon Claw', 'Dynamic Punch', 'Headbutt', 'Curse', 'Roar', 'Mega Punch', 'Swords Dance', 'Mega Kick', 'Toxic', 'Rock Smash', 'Hidden Power', 'Sunny Day', 'Snore', 'Body Slam', 'Take Down', ""Double'Edge"", 'Hyper Beam', 'Protect', 'Endure', 'Roost', 'Submission', 'Frustration', 'Solar Beam', 'Counter', 'Iron Tail', 'Dragon Breath', 'Seismic Toss', 'Rage', 'Dragon Rage', 'Earthquake', 'Return', 'Fissure', 'Dig', 'Brick Break', ""Mud'Slap"", 'Mimic', 'Double Team', 'Flamethrower', 'Swagger', 'Sleep Talk', 'Sandstorm', 'Reflect', 'Bide', 'Fire Blast', 'Rock Tomb', 'Swift', 'Aerial Ace', 'Facade', 'Flame Charge', 'Secret Power', 'Defense Curl', 'Skull Bash', 'Rest', 'Attract', 'Round', 'Echoed Voice', 'Steel Wing', 'Overheat', 'Steel Wing', 'Roost', 'Focus Blast', 'Fling', 'Sky Drop', 'Brutal Swing', 'Incinerate', 'Endure', 'Dragon Pulse', ""Will'O'Wisp"", 'Shadow Claw', 'Giga Impact', 'Swords Dance', 'Captivate', 'Fly', 'Fire Punch', 'Bulldoze', 'Fury Cutter', 'Rock Slide', 'Dragon Tail', 'Sleep Talk', 'Natural Gift', 'Swagger', 'Sleep Talk', 'Substitute', 'Secret Power', 'Rock Smash', ""Power'Up Punch"", 'Confide', 'Cut', 'Fly', 'Strength', 'Defog', 'Rock Smash']"
7,Squirtle,Water,314,44,48,65,50,64,43,1,No,No,True,True,True,,,,,,,,,,"['Rain Dish', 'Torrent']",LC,['Wartortle'],"['Tackle', 'Tail Whip', 'Bubble', 'Water Gun', 'Withdraw', 'Water Gun', 'Bubble', 'Bite', 'Withdraw', 'Rapid Spin', 'Protect', 'Water Pulse', 'Aqua Tail', 'Skull Bash', 'Iron Defense', 'Rain Dance', 'Skull Bash', 'Hydro Pump', 'Aqua Jet', 'Aqua Ring', 'Aura Sphere', 'Brine', 'Confusion', 'Dragon Pulse', 'Fake Out', 'Flail', 'Foresight', 'Haze', 'Mirror Coat', 'Mist', 'Mud Sport', 'Muddy Water', 'Refresh', 'Water Spout', 'Yawn', 'Aqua Tail', 'Body Slam', 'Counter', 'Defense Curl', 'Dive', ""Double'Edge"", 'Dragon Pulse', 'Dynamic Punch', 'Endure', 'Focus Punch', 'Headbutt', 'Ice Beam', 'Ice Punch', 'Icy Wind', 'Iron Defense', 'Iron Tail', 'Mega Kick', 'Mega Punch', 'Mimic', ""Mud'Slap"", 'Rollout', 'Seismic Toss', 'Sleep Talk', 'Snore', 'Substitute', 'Swagger', 'Water Pledge', 'Water Pulse', 'Zen Headbutt', 'Work Up', 'Focus Punch', 'Water Pulse', 'Dynamic Punch', 'Headbutt', 'Curse', 'Rollout', 'Mega Punch', 'Mega Kick', 'Toxic', 'Rock Smash', 'Body Slam', 'Take Down', ""Double'Edge"", 'Bubble Beam', 'Water Gun', 'Hail', 'Hidden Power', 'Snore', 'Ice Beam', 'Blizzard', 'Submission', 'Counter', 'Seismic Toss', 'Rage', 'Icy Wind', 'Protect', 'Rain Dance', 'Endure', 'Frustration', 'Iron Tail', 'Return', 'Dig', 'Brick Break', ""Mud'Slap"", 'Mimic', 'Double Team', 'Rock Tomb', 'Ice Punch', 'Facade', 'Secret Power', 'Swagger', 'Sleep Talk', 'Defense Curl', 'Reflect', 'Bide', 'Skull Bash', 'Rest', 'Attract', 'Brine', 'Round', 'Scald', 'Fling', 'Endure', 'Gyro Ball', 'Captivate', 'Sleep Talk', 'Natural Gift', 'Swagger', 'Sleep Talk', 'Substitute', 'Surf', 'Waterfall', 'Secret Power', 'Rock Smash', ""Power'Up Punch"", 'Confide', 'Surf', 'Strength', 'Waterfall', 'Whirlpool', 'Rock Smash', 'Waterfall', 'Dive']"
